image_path,ground_truth,prediction,nsfw_prob,config,dataset
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_100.jpg,UNSAFE,UNSAFE,0.9086242318153381,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_1000.jpg,UNSAFE,UNSAFE,0.8291680216789246,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_100__1.jpg,UNSAFE,UNSAFE,0.880696713924408,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_101.jpg,UNSAFE,SAFE,0.49574145674705505,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_1011.jpg,UNSAFE,UNSAFE,0.8332159519195557,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_1012.jpg,UNSAFE,UNSAFE,0.8385067582130432,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_1013.jpg,UNSAFE,UNSAFE,0.9005743861198425,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_1018.jpg,UNSAFE,UNSAFE,0.9154275059700012,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_1019.jpg,UNSAFE,UNSAFE,0.8923267126083374,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_102.jpg,UNSAFE,SAFE,0.48454633355140686,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_1022.jpg,UNSAFE,UNSAFE,0.6455097198486328,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_102__1.jpg,UNSAFE,SAFE,0.36088797450065613,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_103.jpg,UNSAFE,UNSAFE,0.5668579339981079,context_encoding_only,in_the_wild
/Users/ahooker/Documents/Dissertation/virtushield/final-datasets/in-the-wild-final-small/UNSAFE/0/frame_1030.jpg,UNSAFE,UNSAFE,0.9119899868965149,context_encoding_only,in_the_wild
