config,dataset,precision,recall,f1,accuracy,tp,fp,tn,fn,n
baseline,in_the_wild,0.5618,0.9910,0.7171,0.6090,991,773,227,9,2000
baseline,second_life,0.5977,0.9769,0.7417,0.6269,211,142,36,5,394
baseline,vrchat,0.5492,0.9728,0.7020,0.5871,3323,2728,688,93,6832
context_encoding_only,in_the_wild,0.8337,0.8470,0.8403,0.8390,847,169,831,153,2000
context_encoding_only,second_life,0.9554,0.8935,0.9234,0.9188,193,9,169,23,394
context_encoding_only,vrchat,0.9762,0.5632,0.7143,0.7747,1924,47,3369,1492,6832
full_system,in_the_wild,0.8340,0.9750,0.8990,0.8905,975,194,806,25,2000
full_system,second_life,0.9550,0.9815,0.9680,0.9645,212,10,168,4,394
full_system,vrchat,0.9815,0.9491,0.9650,0.9656,3242,61,3355,174,6832
reflection_only,in_the_wild,0.5810,0.9930,0.7331,0.6385,993,716,284,7,2000
reflection_only,second_life,0.6302,0.9861,0.7690,0.6751,213,125,53,3,394
reflection_only,vrchat,0.6767,0.9980,0.8065,0.7605,3409,1629,1787,7,6832
